12	1	1	2	11	3	1	6	2	1
81	2	2	5	16	3	2	10	3	2
9	1	1	6	13	4	2	12	2	1
14	2	2	6	12	4	2	8	2	1
27	4	3	12	14	5	2	12	2	2
49	1	1	2	13	2	2	5	3	1
48	4	4	17	19	11	3	15	3	3
101	1	2	2	13	2	2	5	3	2
162.5	2	3	4	22	3	2	7	6	3
247	2	2	3	17	2	2	4	4	4
148.5	2	3	6	24	3	2	7	5	3
23	1	1	1	10	1	1	5	5	1
61	2	2	5.5	15	3	2	7	3	2
34	1	1	2	15	2	2	5	3	1
290	2	5	9	33	3	2	7	9	6
82	1	2	4	32	3	2	6	5	2
